PlayerID,MarksmanRibbons,SniperHours,RibbonsPerHour,SniperKills,SniperKPM,SniperHeadshots,HSKratio,RibbonsPerHeadshot,LongestHeadshot
857422219,85071,2504.32,33.97,97572,0.649,85717,87.85,99.25,2393.16
926229543,67013,1466.62,45.692,74570,0.847,68592,91.98,97.7,3061.74
960112410,64108,1042.73,61.481,85195,1.362,73380,86.13,87.36,3511.08
352534653,55938,3887.48,14.389,693979,2.975,378908,54.6,14.76,1096.78
368860738,55277,2344.57,23.577,66627,0.474,56985,85.53,97.0,1698.67
1137328337,54948,2595.67,21.169,134101,0.861,74156,55.3,74.1,2925.02
621876220,52921,2200.74,24.047,78659,0.596,62589,79.57,84.55,1999.69
290639034,48996,1330.65,36.821,180974,2.267,127975,70.71,38.29,1402.16
377257656,47500,3376.62,14.067,408010,2.014,202878,49.72,23.41,1084.84
930717462,47440,3877.09,12.236,56689,0.244,48207,85.04,98.41,1841.9
1296348952,46231,1185.66,38.992,53518,0.752,48245,90.15,95.83,3309.95
1802479498,45810,1237.45,37.02,80318,1.082,65701,81.8,69.72,3095.83
290882552,45606,1267.12,35.992,52682,0.693,45898,87.12,99.36,1399.59
421122374,43166,2610.76,16.534,89415,0.571,48063,53.75,89.81,2052.6
1274639977,41702,3061.65,13.621,72925,0.397,50269,68.93,82.96,1260.19
309140851,37871,1154.79,32.795,44199,0.638,38518,87.15,98.32,1865.82
930752476,36729,2353.37,15.607,195790,1.387,105039,53.65,34.97,2371
1364904470,35863,1237.12,28.989,46942,0.632,37768,80.46,94.96,1419.96
1054022465,35188,2352.05,14.961,220402,1.562,107092,48.59,32.86,816.48
1220759658,34552,2194.6,15.744,238100,1.808,142814,59.98,24.19,1132.33
940870640,34436,1955.06,17.614,295600,2.52,142085,48.07,24.24,3218.89
304067370,33640,685.47,49.076,40755,0.991,37446,91.88,89.84,1696.54
922180627,33096,2602.36,12.718,325699,2.086,171324,52.6,19.32,3076.77
368386903,32838,1762.6,18.63,40941,0.387,33550,81.95,97.88,2490.97
920373351,32317,1752.23,18.443,77858,0.741,52534,67.47,61.52,1893.09
929821416,31903,2033.06,15.692,40097,0.329,32352,80.68,98.61,1392.28
1004164532049,31317,956.08,32.755,41715,0.727,34623,83.0,90.45,945.59
185217901,30974,1797.69,17.23,53572,0.497,37063,69.18,83.57,1672.21
982615077,30125,1450.24,20.772,57817,0.664,44325,76.66,67.96,1265.69
363627145,29948,1560.5,19.191,96077,1.026,57386,59.73,52.19,1261.97
923684208,29561,817.94,36.141,39056,0.796,33149,84.88,89.18,1860.96
1722653846,29418,4706.63,6.25,270920,0.959,73392,27.09,40.08,1200.39
630967815,29117,1342.86,21.683,35684,0.443,29948,83.93,97.23,1704.87
179108290,29073,2109.5,13.782,32120,0.254,29437,91.65,98.76,924.79
912401767,28699,1472.43,19.491,139732,1.582,96557,69.1,29.72,2610.88
779184604,28116,842.87,33.358,37715,0.746,32888,87.2,85.49,3193.17
198748076,28130,4373.81,6.431,73608,0.28,41247,56.04,68.2,1996.86
1709457652,28057,1269.04,22.109,55520,0.729,35988,64.82,77.96,1483.71
300515704,28043,824.03,34.032,38242,0.773,30048,78.57,93.33,1720.97
170537444,27838,1870.46,14.883,42432,0.378,31442,74.1,88.54,2237.9
380119898,27828,2051.42,13.565,33504,0.272,29207,87.17,95.28,2216.91
514637769,27354,993.73,27.527,51609,0.866,36176,70.1,75.61,1706.83
333504713,27355,2119.74,12.905,32453,0.255,28427,87.59,96.23,1248.69
1080868653,27058,895.03,30.231,41867,0.78,32119,76.72,84.24,3344.71
