PlayerID,MarksmanRibbons,SniperHours,RibbonsPerHour,SniperKills,SniperKPM,SniperHeadshots,HSKratio,RibbonsPerHeadshot,LongestHeadshot
197916752,90542,7132.47,12.694,155918,0.364,123451,79.18,73.34,1531.13
1828964106,78608,2411.73,32.594,100509,0.695,92156,91.69,85.3,1293.53
817124834,72401,3216.85,22.507,155616,0.806,113117,72.69,64.01,1400.83
1851588738,48188,4512.24,10.679,63855,0.236,49118,76.92,98.11,1248.48
289674903,44019,1164.8,37.791,45490,0.651,44809,98.5,98.24,2094.3
886081593,41448,2111.89,19.626,58437,0.461,43455,74.36,95.38,2424.29
1653879103,39775,2489.94,15.974,61092,0.409,47385,77.56,83.94,1587.37
270993218,39607,1220.88,32.441,50601,0.691,42783,84.55,92.58,1561.59
1607947268,34848,833.3,41.819,35756,0.715,35439,99.11,98.33,1535.03
240737632,30853,627.49,49.169,38900,1.033,31632,81.32,97.54,1560.93
990756999,30092,1764.0,17.059,38228,0.361,30679,80.25,98.09,2089.35
1662400227,30076,1458.34,20.623,35777,0.409,30787,86.05,97.69,1668.37
884152353,29760,1949.69,15.264,67681,0.579,46280,68.38,64.3,1251.12
465176819,28786,2321.26,12.401,37463,0.269,29992,80.06,95.98,1491.53
824384957,28577,2175.06,13.138,31658,0.243,29668,93.71,96.32,3171.39
991135137,27497,1891.52,14.537,34112,0.301,28439,83.37,96.69,1402.52
981548957,27369,2779.66,9.846,31432,0.188,27585,87.76,99.22,1222.25
232338335,27155,1791.37,15.159,58684,0.546,34010,57.95,79.84,1544.99
376906714,26697,848.27,31.472,30129,0.592,27381,90.88,97.5,2841.9
425071497,26660,1289.83,20.669,70824,0.915,51385,72.55,51.88,3261.49
1100303592,25475,906.5,28.103,32905,0.605,26181,79.57,97.3,1483.39
1067711052,25407,2603.79,9.758,32528,0.208,26588,81.74,95.56,1414.62
333414675,24865,3147.69,7.899,77345,0.41,34964,45.21,71.12,1875.28
1088924941,24482,1457.29,16.8,28870,0.33,26354,91.29,92.9,1269.14
870267595,23487,948.9,24.752,30563,0.537,24787,81.1,94.76,2353.27
209679336,23364,1060.85,22.024,32640,0.513,25633,78.53,91.15,3347.74
190022345,23286,1029.84,22.611,27740,0.449,23526,84.81,98.98,1783.45
867485192,23171,1028.19,22.536,42107,0.683,33717,80.07,68.72,2061.58
1119568782,22278,2236.14,9.963,33824,0.252,24116,71.3,92.38,1555.79
1514298455,22112,1223.28,18.076,140065,1.908,90524,64.63,24.43,2606.98
1608330470,21420,757.6,28.274,26282,0.578,22086,84.03,96.98,1651.72
288075165,20584,985.62,20.884,30316,0.513,23064,76.08,89.25,1817.66
208928862,20031,553.31,36.202,43692,1.316,27568,63.1,72.66,1389.96
517847734,19965,1792.83,11.136,26732,0.249,21605,80.82,92.41,1999.62
861973903,19899,1179.07,16.877,128655,1.819,77920,60.57,25.54,1585.7
389952745,19464,1024.51,18.998,22609,0.368,19803,87.59,98.29,1589.18
369385153,19297,1429.24,13.502,33227,0.387,21846,65.75,88.33,1213.25
769527977,18012,1843.14,9.772,30416,0.275,20860,68.58,86.35,1909.64
985455257,17706,1050.86,16.849,42036,0.667,23430,55.74,75.57,3351.52
967046773,17494,959.24,18.237,26964,0.468,22053,81.79,79.33,1563.96
274178909,16887,695.75,24.272,27179,0.651,19962,73.45,84.6,1531.82
804725062,16565,566.63,29.234,22827,0.671,19277,84.45,85.93,2222.44
937764842,16366,752.15,21.759,28117,0.623,20035,71.26,81.69,1387.91
887462085,16225,641.05,25.31,29903,0.777,22456,75.1,72.25,2142.48
467319723,15890,1123.62,14.142,77106,1.144,42360,54.94,37.51,1298.85
391364937,15681,864.93,18.13,17956,0.346,16730,93.17,93.73,1483.71
1977340393,4754,79.41,59.868,5142,1.079,4822,93.78,98.59,3291.96
